id,nom,titre,description,nbr_telechargement,idCategories,proprietaire,statut
1,nature_01.jpg,Forêt ensoleillée,Une belle forêt baignée de lumière,0,1,Alice,1
2,animaux_01.jpg,Lion dans la savane,Un lion majestueux dans la savane africaine,0,2,Bob,1
3,architecture_01.jpg,Tour Eiffel,Vue de la Tour Eiffel à Paris,0,3,Charlie,1
4,technologie_01.jpg,Circuit imprimé,Détails d’un circuit électronique,0,4,David,1
5,personnes_01.jpg,Portrait femme,Portrait d'une femme souriante,0,5,Eva,1
6,nature_02.jpg,Lac paisible,Un lac tranquille au lever du soleil,0,1,Alice,1
7,nature_03.jpg,Montagne enneigée,Pic de montagne recouvert de neige,0,1,Alice,1
8,animaux_02.jpg,Éléphant,Un éléphant marchant dans la savane,0,2,Bob,1
9,architecture_02.jpg,Ancienne cathédrale,Cathédrale ancienne avec de belles arches,0,3,Charlie,1
10,technologie_02.jpg,Écran LED,Gros plan sur un écran LED,0,4,David,1
11,personnes_02.jpg,Couple,Couple marchant dans un parc,0,5,Eva,1
12,nature_04.jpg,Rivière en forêt,Rivière serpentant à travers la forêt,0,1,Alice,1
13,animaux_03.jpg,Chien joueur,Chien courant sur la plage,0,2,Bob,1
14,architecture_03.jpg,Skyscraper,Immeuble moderne dans une ville,0,3,Charlie,1
15,technologie_03.jpg,Robots industriels,Robot dans une usine,0,4,David,1
16,personnes_03.jpg,Enfants qui jouent,Des enfants jouant dans un parc,0,5,Eva,1
17,nature_05.jpg,Dunes désertiques,Dunes dorées au coucher du soleil,0,1,Alice,1
18,animaux_04.jpg,Oiseau tropical,Oiseau coloré sur une branche,0,2,Bob,1
19,architecture_04.jpg,Temple ancien,Temple historique en ruines,0,3,Charlie,1
20,technologie_04.jpg,Ordinateur ancien,Ordinateur des années 80,0,4,David,1
21,personnes_04.jpg,Marche en groupe,Groupe de personnes en randonnée,0,5,Eva,1
22,nature_06.jpg,Plage tropicale,Plage de sable blanc avec palmiers,0,1,Alice,1
23,animaux_05.jpg,Tigre au repos,Tigre se reposant dans une jungle,0,2,Bob,1
24,architecture_05.jpg,Mosquée historique,Mosquée ancienne avec des détails magnifiques,0,3,Charlie,1
25,technologie_05.jpg,Console rétro,Console de jeux rétro,0,4,David,1
26,personnes_05.jpg,Groupe d'amis,Des amis réunis autour d’un feu,0,5,Eva,1
27,nature_07.jpg,Fleur de printemps,Une fleur colorée au printemps,0,1,Alice,1
28,animaux_06.jpg,Cheval en prairie,Cheval broutant dans une prairie,0,2,Bob,1
29,architecture_06.jpg,Château médiéval,Château datant du Moyen Âge,0,3,Charlie,1
30,personnes_06.jpg,Scène de marché,Marché traditionnel avec des personnes,0,5,Eva,1